CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS90 Y;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
20035AS;1;CENTRO;PLAZA;ISABEL II;7;;439839.85;4474444.74;42751;-3.7091287;40.4184554;PLAZA ISABEL II,7
20034AS;1;CENTRO;PLAZA;EMPERADOR CARLOS V;9;;441226.39;4473338.55;42723;-3.692684;40.4085893;PLAZA EMPERADOR CARLOS V,9
20041AS;1;CENTRO;PLAZA;JACINTO BENAVENTE;3;;440266.19;4473997.40;42716;-3.7040616;40.4144562;PLAZA JACINTO BENAVENTE,3
20037AS;1;CENTRO;PLAZA;TIRSO DE MOLINA;14;;440195.04;4473762.02;42709;-3.704878;40.4123307;PLAZA TIRSO DE MOLINA,14
20018AS;1;CENTRO;CALLE;SAN ANDRES;20;PLAZA DOS DE MAYO;440305.32;4475393.99;42919;-3.7037315;40.4270402;CALLE SAN ANDRES,20
20059AS;1;CENTRO;PARQUE;MADRID RIO;;"CERCANO A QUIOSCO ""BONAPARTE""";438780.68;4474293.68;42926;-3.721598;40.4170173;PARQUE MADRID RIO,
20032AS;1;CENTRO;PLAZA;CARMEN;2;;440340.68;4474511.65;43000;-3.7032319;40.4190942;PLAZA CARMEN,2
20031AS;1;CENTRO;PLAZA;CAMPILLO DEL MUNDO NUEVO;9;;439901.31;4473160.81;43024;-3.708283;40.4068936;PLAZA CAMPILLO DEL MUNDO NUEVO,9
20022AS;1;CENTRO;PASEO;RECOLETOS;17;;441260.39;4474790.57;43077;-3.6924174;40.4216722;PASEO RECOLETOS,17
20020AS;1;CENTRO;CALLE;BARCELÓ;7;;440588.13;4475346.77;43203;-3.7003933;40.426635;CALLE BARCELÓ,7
20019AS;1;CENTRO;CALLE;ARGUMOSA;1;;440571.59;4473316.77;43207;-3.7003987;40.4083466;CALLE ARGUMOSA,1
20093AS;1;CENTRO;PASEO;PRADO;10;;441116.79;4474010.22;43404;-3.6940378;40.4146323;PASEO PRADO,10
20054AS;1;CENTRO;CALLE;GENOVA;29;;441332.86;4475201.73;43510;-3.6916011;40.4253813;CALLE GENOVA,29
20027AS;2;ARGANZUELA;GLORIETA;EMBAJADORES;7;;440342.85;4472913.06;42754;-3.7030565;40.4046935;GLORIETA EMBAJADORES,7
20003AS;2;ARGANZUELA;CALLE;MENDEZ ALVARO ;5;;441722.79;4472562.06;42754;-3.6867629;40.4016292;CALLE MENDEZ ALVARO ,5
